# This file is generated by MACS
# ARGUMENTS LIST:
# name = s96a
# format = ELAND
# ChIP-seq file = S96ChIPu_eland_result_unique.txt
# control file = S96inputu_eland_result_unique.txt
# effective genome size = 1.20e+07
# tag size = 24
# band width = 15
# model fold = 4
# pvalue cutoff = 1.00e-05
# Ranges for calculating regional lambda are : peak_region,250,500,2500
# unique tags in treatment: 2288896
# total tags in treatment: 2347114
# unique tags in control: 1111480
# total tags in control: 1111480
# d = 23
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr01.fs	43312	43762	451	259	341	526.19	4.37	1.06
chr01.fs	45687	46172	486	204	354	673.08	5.77	0.85
chr01.fs	60443	60815	373	213	225	92.75	2.36	2.21
chr01.fs	68086	68731	646	223	497	772.49	4.65	0.98
chr01.fs	69539	70436	898	437	1024	3100.00	8.25	0.00
chr01.fs	71925	73219	1295	956	790	370.99	2.93	1.69
chr01.fs	98579	98810	232	39	100	153.55	4.10	2.00
chr01.fs	116275	116362	88	23	41	51.42	3.52	2.40
chr01.fs	139459	139554	96	55	41	50.41	3.80	2.38
chr01.fs	139570	139777	208	53	100	93.26	3.82	2.21
chr01.fs	141646	141917	272	87	164	295.68	4.87	1.44
chr01.fs	142640	142868	229	130	116	53.21	2.57	2.36
chr01.fs	152462	152645	184	101	98	98.60	3.13	2.17
chr01.fs	166139	166289	151	109	110	130.79	3.99	2.25
chr01.fs	166321	166459	139	58	83	67.27	2.84	2.42
chr01.fs	180965	181152	188	156	115	178.82	5.41	1.96
chr01.fs	181229	181334	106	32	53	71.01	4.06	2.49
chr01.fs	182249	182535	287	259	288	608.83	4.96	1.16
chr01.fs	182571	182634	64	36	74	323.34	9.57	1.53
chr01.fs	182928	183155	228	60	192	280.94	4.29	1.39
chr01.fs	183179	183253	75	29	53	87.41	4.28	2.37
chr01.fs	183296	183371	76	31	45	104.60	5.93	2.21
chr01.fs	183510	183641	132	48	64	95.21	3.86	2.24
chr02.fs	9460	9610	151	108	74	81.86	3.56	2.41
chr02.fs	12835	13232	398	221	330	820.02	6.41	0.52
chr02.fs	36300	36411	112	66	59	56.47	3.15	2.34
chr02.fs	88230	88389	160	84	82	74.36	2.97	2.48
chr02.fs	106842	106967	126	106	57	57.53	2.88	2.27
chr02.fs	110568	110738	171	81	90	122.43	3.71	2.45
chr02.fs	110985	111139	155	60	77	65.54	2.92	2.48
chr02.fs	124810	125055	246	205	119	130.61	3.02	2.24
chr02.fs	159682	159936	255	189	118	55.19	2.26	2.32
chr02.fs	165019	165426	408	242	283	518.79	4.91	1.05
chr02.fs	191788	193818	2031	375	1519	2512.62	6.10	0.00
chr02.fs	197244	197520	277	234	199	388.47	5.46	1.74
chr02.fs	197548	197657	110	49	132	471.26	7.15	1.32
chr02.fs	197679	197768	90	32	78	260.98	9.57	1.57
chr02.fs	197979	198692	714	107	552	778.65	4.99	0.98
chr02.fs	202666	203291	626	322	581	1272.38	5.74	0.84
chr02.fs	226927	227104	178	83	239	907.19	7.17	0.56
chr02.fs	227144	227356	213	81	159	413.03	5.17	1.80
chr02.fs	235805	236186	382	199	240	351.78	4.56	1.66
chr02.fs	266266	266393	128	103	61	88.75	3.74	2.28
chr02.fs	278509	278651	143	61	65	76.54	3.73	2.45
chr02.fs	279733	279886	154	45	72	57.21	3.58	2.27
chr02.fs	287979	288160	182	112	80	73.96	3.30	2.47
chr02.fs	315952	318039	2088	780	1774	3100.00	6.54	0.00
chr02.fs	323037	323226	190	48	88	92.65	3.71	2.21
chr02.fs	326693	326817	125	59	65	75.59	3.34	2.51
chr02.fs	326836	326950	115	39	53	56.27	3.84	2.34
chr02.fs	338888	339040	153	104	70	52.79	3.06	2.34
chr02.fs	347508	347625	118	51	54	78.30	4.42	2.48
chr02.fs	347670	347753	84	22	43	71.74	4.78	2.52
chr02.fs	350746	350853	108	60	59	104.89	5.68	2.23
chr02.fs	350870	350969	100	34	50	70.14	3.45	2.48
chr02.fs	371102	371331	230	65	120	146.55	3.77	2.09
chr02.fs	373163	373338	176	110	89	61.24	2.56	2.38
chr02.fs	374408	374574	167	33	81	54.49	2.79	2.30
chr02.fs	392442	392823	382	201	336	666.50	5.13	0.84
